,d2l,lon,lat
364,-0.07117862108185063,10.4140272475,47.6678267279
365,-0.07231963356996579,10.4144091518,47.6672510373
366,-0.08011700662918428,10.4147273613,47.6667952812
367,-0.08413791365895215,10.415061844,47.6663403822
368,-0.0942523861894193,10.4154117981,47.6658905149
369,-0.09876662668654002,10.4157757356,47.6654477069
370,-0.09533254599764766,10.4161539814,47.6650106612
371,-0.10276260463757063,10.4165466642,47.6645794347
372,-0.10672122750896433,10.4169552197,47.6641528692
373,-0.1075869961990202,10.4173744522,47.6637358492
374,-0.10240519264883878,10.4178067106,47.6633258277
375,-0.11345471697436373,10.4183698862,47.6628190447
376,-0.11325966368787964,10.41895352,47.6623228818
377,-601204.7646578038,0.4195572554,47.661839061
378,-0.12542954284195584,10.4201767178,47.6613686704
379,-0.12093675016066338,10.4208229965,47.6609063402
380,-0.127256964019945,10.4214869821,47.6604565935
381,-0.13098287717741275,10.4221695707,47.6600196678
382,-0.13169738909164816,10.4227288161,47.6596794041
383,-0.13617176724953906,10.4234432169,47.6592665848
384,-0.13344351660177875,10.4240280238,47.6589452249
385,-0.13699508874940433,10.4246203676,47.6586342421
386,-0.1376829166360027,10.4252258117,47.6583311425
387,-601119.2933222511,0.4258378852,47.658039741
388,-0.1403447119717063,10.4266155834,47.6576883719
389,-0.14325821937570418,10.4272528229,47.6574155193
390,-0.14716794055775834,10.428059805,47.6570891712
391,-0.14869284714894465,10.4287103858,47.6568409891
392,-0.1395469594930292,10.4293719441,47.6566015566
393,-600989.2491476111,0.4302126428,47.6563158791
394,-0.14674611496931583,10.4308953505,47.6560980044
395,-0.16525544627528851,10.4317587961,47.6558406294
396,-0.15947992602513245,10.4324561284,47.6556468593
397,-0.15152912327471302,10.4331577591,47.6554643812
398,-0.15966340317321406,10.4340418283,47.6552519325
399,-0.15485319440545078,10.434753791,47.6550941249
400,-0.15373455053556198,10.4354768684,47.6549459043
401,-600746.0518764211,0.4361998793,47.6548100231
402,-0.1589638160812173,10.4369211074,47.6546860982
403,-0.15572737058346672,10.4378360297,47.6545448534
404,-0.1587956797406903,10.4385691325,47.6544447007
405,-0.15786643461640823,10.4393031689,47.6543558084
406,-600556.9555329677,0.4400392459,47.6542781111
407,-0.16285710125649674,10.4409664017,47.6541970703
408,-0.1614717330978145,10.4417111034,47.6541445443
